Latitude,Longitude,Elevation,Time,HeartRate,Power
42.27332,-71.025285,9.8,2023-09-15 00:06:22+00:00,,
42.273308,-71.025265,9.8,2023-09-15 00:06:23+00:00,,
42.273298,-71.025245,9.8,2023-09-15 00:06:24+00:00,,
42.273285,-71.025225,9.8,2023-09-15 00:06:25+00:00,,
42.273272,-71.025207,9.8,2023-09-15 00:06:26+00:00,,
42.273262,-71.025185,9.8,2023-09-15 00:06:27+00:00,,
42.273252,-71.025167,9.8,2023-09-15 00:06:28+00:00,,
42.273235,-71.025128,9.8,2023-09-15 00:06:29+00:00,,
42.273222,-71.025092,9.8,2023-09-15 00:06:30+00:00,,
42.273207,-71.025048,9.8,2023-09-15 00:06:31+00:00,,
42.273195,-71.025017,9.8,2023-09-15 00:06:32+00:00,,
